subject,roi,brain_metric,comparator,level,split_mode,n_repeats,n_splits,n_stimuli,n_voxels,rdm_cv,degenerate_rdm,r_hh,r_sb,r_sb_lo,r_sb_hi,ceiling_one_sided
02,LOC,euclidean_centered,pearson,L2,all,12,462,100,1175,0.1041950239090859,False,0.5656330558710041,0.7225614632367698,0.651797565516059,0.7757066177315959,0.8500361540762662
02,LOC,euclidean_centered,spearman,L3,all,12,462,100,1175,0.1041950239090859,False,0.362373865520051,0.5319741881303987,0.45312593557149794,0.595295488528596,0.7293656066270184
02,LOC,euclidean_centered,kendall,L3,all,12,462,100,1175,0.1041950239090859,False,0.24869904571515547,0.3983330436081505,0.3333811711221451,0.45280954183640565,0.6311363114321268
02,LOC,euclidean_centered,l1_r0,L1,contiguous,12,1,100,1175,0.1041950239090859,False,0.9979401597403136,0.9989690180410837,,,0.9994843760865318
02,LOC,euclidean_centered,pearson,L2,contiguous,12,1,100,1175,0.1041950239090859,False,0.5906936176029656,0.7426868519068914,,,0.8617928126335769
02,LOC,euclidean_centered,spearman,L3,contiguous,12,1,100,1175,0.1041950239090859,False,0.37012426800493553,0.5402783917459993,,,0.7350363200182691
02,LOC,euclidean_centered,kendall,L3,contiguous,12,1,100,1175,0.1041950239090859,False,0.2549829676845235,0.40635287370469064,,,0.6374581348643146
02,LOC,euclidean_centered,l1_r0,L1,alternating,12,1,100,1175,0.1041950239090859,False,0.997937676489828,0.9989677738527885,,,0.9994837536712583
02,LOC,euclidean_centered,pearson,L2,alternating,12,1,100,1175,0.1041950239090859,False,0.5878946133365807,0.7404705682592635,,,0.8605059954813002
02,LOC,euclidean_centered,spearman,L3,alternating,12,1,100,1175,0.1041950239090859,False,0.39107877094248195,0.5622668954649042,,,0.7498445808731995
02,LOC,euclidean_centered,kendall,L3,alternating,12,1,100,1175,0.1041950239090859,False,0.26863265918428575,0.42349951696342586,,,0.6507684050132012
02,LOC,mahalanobis,l1_r0,L1,contiguous,12,1,100,1175,2.943769549008881e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
02,LOC,mahalanobis,pearson,L2,contiguous,12,1,100,1175,2.943769549008881e-16,True,0.024384911661383096,0.04760888487089252,,,0.2181946032121155
02,LOC,mahalanobis,spearman,L3,contiguous,12,1,100,1175,2.943769549008881e-16,True,0.023774900009948877,0.04644556144073826,,,0.2155123231760501
02,LOC,mahalanobis,kendall,L3,contiguous,12,1,100,1175,2.943769549008881e-16,True,0.017990819427209544,0.03534574002805329,,,0.18800462767722845
02,LOC,mahalanobis,l1_r0,L1,alternating,12,1,100,1175,2.943769549008881e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
02,LOC,mahalanobis,pearson,L2,alternating,12,1,100,1175,2.943769549008881e-16,True,-0.09253392329282528,-0.20393913484588483,,,
