roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,n_subjects,bootstrap,n_boot,boot_seed,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper_subject,nili_lower_subject,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,0.055418825976926205,0.091444;0.024717;0.050096,0.0174982501749825,2.125491836772095,10000,13730506320845282528,,,,,0.15889256170807745,0.07733428035593401,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-01,subject,0.09144409622723122,,0.0058994100589941,2.615611328966169,10000,13730506320845282529,0.7293212272668476,0.3648790693766147,,,0.26218142384817444,0.12760579550126264,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-02,subject,0.024716674693862736,,0.25417458254174585,0.6676297463956269,10000,13730506320845282530,0.693716853845243,0.3164389074306153,,,0.07086573361637438,0.034490919223684684,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-03,subject,0.05009570700968465,,0.07989201079892011,1.4303685882138848,10000,13730506320845282531,0.7268038410675274,0.36502727776944677,,,0.1436305276596835,0.0699061263428547,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.5589913503125625,F1+F2+F3,group_mean,0.8567218070570434,0.855565;0.854638;0.859962,0.9955004499550045,-2.661892513653713,10000,13116174186720867661,,,0.8606945864519471,,-0.03199193333286963,-0.029963432933435567,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.5589913503125625,sub-01,subject,0.8555650296748517,,0.9965003499650035,-2.9487131669585223,10000,13116174186720867662,0.9937837237440482,0.9859954396678099,0.861389929273584,0.1638855755675248,-0.04717078704882876,-0.04416407842794261,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.5589913503125625,sub-02,subject,0.8546381961143623,,0.832016798320168,-0.9748187130974855,10000,13116174186720867663,0.9915646607547265,0.9810331383566003,0.8570578888133424,0.19304229597369058,-0.018930861537928365,-0.017762564375929824,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.5589913503125625,sub-03,subject,0.8599621953819162,,0.9811018898110189,-2.115745673319619,10000,13116174186720867664,0.9944981482745172,0.9875971612331519,0.8636359412689146,0.1467120805157802,-0.030301607902197398,-0.02833669523478363,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.0509135913255311,-0.074119;-0.026424;-0.052197,0.9963003699630038,-2.750126422328025,10000,13116174186720867661,,,,,-0.14202440152495147,-0.070303851093785,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-01,subject,-0.07411904759753978,,0.9965003499650035,-2.9487131669582096,10000,13116174186720867662,0.7400056061839155,0.3839990610796454,,,-0.20675644955655012,-0.102347022668141,False
